date,product,category,quantity,unit_price,revenue,region,customer_type
2024-09-11,Micro Board,Accessories,14,59.99,839.86,Asia Pacific,B2B
2024-09-12,Relay Switch,Components,15,24.99,374.85,Latin America,B2C
2024-09-13,Widget Pro,Electronics,7,29.99,209.93,North America,B2B
2024-09-14,Gadget X,Hardware,60,49.99,2999.40,Europe,B2C
2024-10-15,Sensor Plus,Accessories,6,19.99,119.94,Asia Pacific,B2B
2024-10-16,Cable Kit,Components,8,9.99,79.92,Latin America,B2C
2024-10-17,Power Unit,Electronics,16,79.99,1279.84,North America,B2B
2024-10-18,LED Panel,Hardware,25,39.99,999.75,Europe,B2C
2024-10-19,Micro Board,Accessories,6,59.99,359.94,Asia Pacific,B2B
2024-10-20,Relay Switch,Components,5,24.99,124.95,Latin America,B2C
2024-10-21,Widget Pro,Electronics,15,29.99,449.85,North America,B2B
2024-10-22,Gadget X,Hardware,21,49.99,1049.79,Europe,B2C
2024-10-23,Sensor Plus,Accessories,4,19.99,79.96,Asia Pacific,B2B
2024-10-24,Cable Kit,Components,2,9.99,19.98,Latin America,B2C
2024-10-25,Power Unit,Electronics,12,79.99,959.88,North America,B2B
2024-10-26,LED Panel,Hardware,11,39.99,439.89,Europe,B2C
2024-10-27,Micro Board,Accessories,22,59.99,1319.78,Asia Pacific,B2B
2024-10-28,Relay Switch,Components,9,24.99,224.91,Latin America,B2C
2024-10-01,Widget Pro,Electronics,14,29.99,419.86,North America,B2B
2024-10-02,Gadget X,Hardware,9,49.99,449.91,Europe,B2C
2024-10-03,Sensor Plus,Accessories,29,19.99,579.71,Asia Pacific,B2B
2024-10-04,Cable Kit,Components,9,9.99,89.91,Latin America,B2C
2024-10-05,Power Unit,Electronics,13,79.99,1039.87,North America,B2B
2024-10-06,LED Panel,Hardware,7,39.99,279.93,Europe,B2C
2024-10-07,Micro Board,Accessories,10,59.99,599.90,Asia Pacific,B2B
2024-10-08,Relay Switch,Components,24,24.99,599.76,Latin America,B2C
2024-10-09,Widget Pro,Electronics,6,29.99,179.94,North America,B2B
2024-10-10,Gadget X,Hardware,22,49.99,1099.78,Europe,B2C
2024-10-11,Sensor Plus,Accessories,27,19.99,539.73,Asia Pacific,B2B
2024-10-12,Cable Kit,Components,16,9.99,159.84,Latin America,B2C
2024-10-13,Power Unit,Electronics,19,79.99,1519.81,North America,B2B
2024-10-14,LED Panel,Hardware,19,39.99,759.81,Europe,B2C
2024-10-15,Micro Board,Accessories,13,59.99,779.87,Asia Pacific,B2B
2024-10-16,Relay Switch,Components,27,24.99,674.73,Latin America,B2C
2024-10-17,Widget Pro,Electronics,21,29.99,629.79,North America,B2B
2024-10-18,Gadget X,Hardware,20,49.99,999.80,Europe,B2C
2024-10-19,Sensor Plus,Accessories,18,19.99,359.82,Asia Pacific,B2B
2024-10-20,Cable Kit,Components,24,9.99,239.76,Latin America,B2C
2024-10-21,Power Unit,Electronics,12,79.99,959.88,North America,B2B
2024-10-22,LED Panel,Hardware,19,39.99,759.81,Europe,B2C
2024-10-23,Micro Board,Accessories,21,59.99,1259.79,Asia Pacific,B2B
2024-10-24,Relay Switch,Components,6,24.99,149.94,Latin America,B2C
2024-10-25,Widget Pro,Electronics,8,29.99,239.92,North America,B2B
2024-10-26,Gadget X,Hardware,13,49.99,649.87,Europe,B2C
2024-10-27,Sensor Plus,Accessories,6,19.99,119.94,Asia Pacific,B2B
2024-10-28,Cable Kit,Components,7,9.99,69.93,Latin America,B2C
2024-11-01,Power Unit,Electronics,21,79.99,1679.79,North America,B2B
2024-11-02,LED Panel,Hardware,11,39.99,439.89,Europe,B2C
2024-11-03,Micro Board,Accessories,27,59.99,1619.73,Asia Pacific,B2B
2024-11-04,Relay Switch,Components,8,24.99,199.92,Latin America,B2C
2024-11-05,Widget Pro,Electronics,8,29.99,239.92,North America,B2B
2024-11-06,Gadget X,Hardware,24,49.99,1199.76,Europe,B2C
2024-11-07,Sensor Plus,Accessories,10,19.99,199.90,Asia Pacific,B2B
2024-11-08,Cable Kit,Components,10,9.99,99.90,Latin America,B2C
2024-11-09,Power Unit,Electronics,21,79.99,1679.79,North America,B2B
2024-11-10,LED Panel,Hardware,21,39.99,839.79,Europe,B2C
2024-11-11,Micro Board,Accessories,29,59.99,1739.71,Asia Pacific,B2B
2024-11-12,Relay Switch,Components,29,24.99,724.71,Latin America,B2C
2024-11-13,Widget Pro,Electronics,6,29.99,179.94,North America,B2B
2024-11-14,Gadget X,Hardware,4,49.99,199.96,Europe,B2C
2024-11-15,Sensor Plus,Accessories,25,19.99,499.75,Asia Pacific,B2B
2024-11-16,Cable Kit,Components,2,9.99,19.98,Latin America,B2C
2024-11-17,Power Unit,Electronics,23,79.99,1839.77,North America,B2B
2024-11-18,LED Panel,Hardware,23,39.99,919.77,Europe,B2C
2024-11-19,Micro Board,Accessories,18,59.99,1079.82,Asia Pacific,B2B
2024-11-20,Relay Switch,Components,13,24.99,324.87,Latin America,B2C
2024-11-21,Widget Pro,Electronics,6,29.99,179.94,North America,B2B
2024-11-22,Gadget X,Hardware,11,49.99,549.89,Europe,B2C
2024-11-23,Sensor Plus,Accessories,25,19.99,499.75,Asia Pacific,B2B
2024-11-24,Cable Kit,Components,9,9.99,89.91,Latin America,B2C
2024-11-25,Power Unit,Electronics,20,79.99,1599.80,North America,B2B
2024-11-26,LED Panel,Hardware,15,39.99,599.85,Europe,B2C
2024-11-27,Micro Board,Accessories,9,59.99,539.91,Asia Pacific,B2B
2024-11-28,Relay Switch,Components,19,24.99,474.81,Latin America,B2C
2024-11-01,Widget Pro,Electronics,13,29.99,389.87,North America,B2B
2024-11-02,Gadget X,Hardware,9,49.99,449.91,Europe,B2C
2024-11-03,Sensor Plus,Accessories,9,19.99,179.91,Asia Pacific,B2B
2024-11-04,Cable Kit,Components,5,9.99,49.95,Latin America,B2C
2024-11-05,Power Unit,Electronics,28,79.99,2239.72,North America,B2B
2024-11-06,LED Panel,Hardware,16,39.99,639.84,Europe,B2C
2024-11-07,Micro Board,Accessories,19,59.99,1139.81,Asia Pacific,B2B
2024-11-08,Relay Switch,Components,20,24.99,499.80,Latin America,B2C
2024-11-09,Widget Pro,Electronics,26,29.99,779.74,North America,B2B
2024-11-10,Gadget X,Hardware,11,49.99,549.89,Europe,B2C
2024-11-11,Sensor Plus,Accessories,29,19.99,579.71,Asia Pacific,B2B
2024-11-12,Cable Kit,Components,3,9.99,29.97,Latin America,B2C
2024-11-13,Power Unit,Electronics,6,79.99,479.94,North America,B2B
2024-11-14,LED Panel,Hardware,22,39.99,879.78,Europe,B2C
2024-12-15,Micro Board,Accessories,9,59.99,539.91,Asia Pacific,B2B
2024-12-16,Relay Switch,Components,5,24.99,124.95,Latin America,B2C
2024-12-17,Widget Pro,Electronics,21,29.99,629.79,North America,B2B
2024-12-18,Gadget X,Hardware,9,49.99,449.91,Europe,B2C
2024-12-19,Sensor Plus,Accessories,2,19.99,39.98,Asia Pacific,B2B
2024-12-20,Cable Kit,Components,27,9.99,269.73,Latin America,B2C
2024-12-21,Power Unit,Electronics,29,79.99,2319.71,North America,B2B
2024-12-22,LED Panel,Hardware,28,39.99,1119.72,Europe,B2C
2024-12-23,Micro Board,Accessories,10,59.99,599.90,Asia Pacific,B2B
2024-12-24,Relay Switch,Components,5,24.99,124.95,Latin America,B2C
2024-12-25,Widget Pro,Electronics,4,29.99,119.96,North America,B2B
2024-12-26,Gadget X,Hardware,7,49.99,349.93,Europe,B2C
2024-12-27,Sensor Plus,Accessories,24,19.99,479.76,Asia Pacific,B2B
2024-12-28,Cable Kit,Components,28,9.99,279.72,Latin America,B2C
2024-12-01,Power Unit,Electronics,19,79.99,1519.81,North America,B2B
2024-12-02,LED Panel,Hardware,25,39.99,999.75,Europe,B2C
2024-12-03,Micro Board,Accessories,13,59.99,779.87,Asia Pacific,B2B
2024-12-04,Relay Switch,Components,17,24.99,424.83,Latin America,B2C
2024-12-05,Widget Pro,Electronics,2,29.99,59.98,North America,B2B
2024-12-06,Gadget X,Hardware,9,49.99,449.91,Europe,B2C
2024-12-07,Sensor Plus,Accessories,9,19.99,179.91,Asia Pacific,B2B
2024-12-08,Cable Kit,Components,20,9.99,199.80,Latin America,B2C
2024-12-09,Power Unit,Electronics,7,79.99,559.93,North America,B2B
2024-12-10,LED Panel,Hardware,28,39.99,1119.72,Europe,B2C
2024-12-11,Micro Board,Accessories,14,59.99,839.86,Asia Pacific,B2B
2024-12-12,Relay Switch,Components,26,24.99,649.74,Latin America,B2C
2024-12-13,Widget Pro,Electronics,9,29.99,269.91,North America,B2B
2024-12-14,Gadget X,Hardware,13,49.99,649.87,Europe,B2C
2024-12-15,Sensor Plus,Accessories,14,19.99,279.86,Asia Pacific,B2B
2024-12-16,Cable Kit,Components,8,9.99,79.92,Latin America,B2C
2024-12-17,Power Unit,Electronics,10,79.99,799.90,North America,B2B
2024-12-18,LED Panel,Hardware,10,39.99,399.90,Europe,B2C
2024-12-19,Micro Board,Accessories,29,59.99,1739.71,Asia Pacific,B2B
2024-12-20,Relay Switch,Components,25,24.99,624.75,Latin America,B2C
2024-12-21,Widget Pro,Electronics,16,29.99,479.84,North America,B2B
2024-12-22,Gadget X,Hardware,4,49.99,199.96,Europe,B2C
2024-12-23,Sensor Plus,Accessories,10,19.99,199.90,Asia Pacific,B2B
2024-12-24,Cable Kit,Components,10,9.99,99.90,Latin America,B2C
